id	sentence	raw	ipa	gloss_en	cs_words	notes
ar-SA-x-rijal-alma-cs-001	أَبِي أَبْعَت email لِلْمُدِير الْحِين	أبي أبعت email للمدير الحين	ˈʔabiː ˈʔabʕat imiːl lilmuˈdiːr aˈlħiːn	I want to send an email to the manager now	email	[tech] email→imiːl. table: default pan-Arabic (Watson 2002; Holes 2004)
ar-SA-x-rijal-alma-cs-002	عِنْدِي laptop جَدِيد بَسّ wifi بَطِيء	عندي laptop جديد بس wifi بطيء	ˈʕindiː labtub dʒaˈdiːd ˈbass wifi bɑˈtˤiːʔ	I have a new laptop but the wifi is slow	laptop;wifi	[tech] laptop→labtub; wifi→wifi. table: default pan-Arabic (Watson 2002; Holes 2004)
ar-SA-x-rijal-alma-cs-003	لَازِم نَعْمَل update لِلْبَرْنَامِج الْحِين	لازم نعمل update للبرنامج الحين	ˈlaːzim ˈnaʕmal abdat lilbaˈrnaːmidʒ aˈlħiːn	we have to do an update for the program now	update	[tech] update→abdat. table: default pan-Arabic (Watson 2002; Holes 2004)
ar-SA-x-rijal-alma-cs-004	نَزَّلْت file بَسّ download بَطِيء	نزلت file بس download بطيء	naˈzzalt fil ˈbass dawnlaud bɑˈtˤiːʔ	I downloaded a file but the download is slow	file;download	[tech] file→fil; download→dawnlaud. table: default pan-Arabic (Watson 2002; Holes 2004)
ar-SA-x-rijal-alma-cs-005	نَسِيت password تَاع email	نسيت password تاع email	naˈsiːt baswuːrd ˈtaːʕ imiːl	I forgot the password of the email	password;email	[tech] password→baswuːrd; email→imiːl. table: default pan-Arabic (Watson 2002; Holes 2004)
ar-SA-x-rijal-alma-cs-006	ابْعَتْلِي link عَلَى message	ابعتلي link على message	ibʕaˈtlijj link ˈʕalaː misadʒ	send me the link on a message	link;message	[tech] link→link; message→misadʒ. table: default pan-Arabic (Watson 2002; Holes 2004)
ar-SA-x-rijal-alma-cs-007	عِنْدِي meeting مُهِمّ مَعَ manager	عندي meeting مهم مع manager	ˈʕindiː miːtinɡ muˈhimm ˈmaʕa manadʒar	I have an important meeting with a manager	meeting;manager	[tech] meeting→miːtinɡ; manager→manadʒar. table: default pan-Arabic (Watson 2002; Holes 2004)
ar-SA-x-rijal-alma-cs-008	شُفْت video عَلَى online	شفت video على online	ˈʃuft fidiu ˈʕalaː unlin	I saw a video online	video;online	[tech] video→fidiu; online→unlin. table: default pan-Arabic (Watson 2002; Holes 2004)
ar-SA-x-rijal-alma-cs-009	فِي offer زَيْن وْ discount كْبِير	في offer زين و discount كبير	ˈfiː ufar ˈzajn w disawnt ˈkbiːr	there is a good offer and a big discount	offer;discount	[commerce] offer→ufar; discount→disawnt. table: default pan-Arabic (Watson 2002; Holes 2004)
ar-SA-x-rijal-alma-cs-010	delivery يُوصَل بُكْرَة وْ الدَّفْع cash	delivery يوصل بكرة و الدفع cash	dilifari ˈjuːsˤɑl ˈbukra w ˈddafʕ kaʃ	delivery arrives tomorrow and payment is cash	delivery;cash	[commerce] delivery→dilifari; cash→kaʃ. table: default pan-Arabic (Watson 2002; Holes 2004)
ar-SA-x-rijal-alma-cs-011	أَبِي أَشْتَرِي online بَسّ مَا لَقِيت offer	أبي أشتري online بس ما لقيت offer	ˈʔabiː ˈʔaʃtariː unlin ˈbass ˈmaː laˈqiːt ufar	I want to buy online but I did not find an offer	online;offer	[commerce] online→unlin; offer→ufar. table: default pan-Arabic (Watson 2002; Holes 2004)
ar-SA-x-rijal-alma-cs-012	service مُو زَيْن وْ delivery مِتْأَخِّر	service مو زين و delivery متأخر	sarfis ˈmuː ˈzajn w dilifari miˈtʔaxxir	the service is not good and the delivery is late	service;delivery	[commerce] service→sarfis; delivery→dilifari. table: default pan-Arabic (Watson 2002; Holes 2004)
ar-SA-x-rijal-alma-cs-013	دَفَعْت cash مُو بِكَرْت	دفعت cash مو بكرت	daˈfaʕt kaʃ ˈmuː biˈkart	I paid cash not by card	cash	[commerce] cash→kaʃ. table: default pan-Arabic (Watson 2002; Holes 2004)
ar-SA-x-rijal-alma-cs-014	وَدِّيت car عَلَى service الْحِين	وديت car على service الحين	waˈddiːt kaːr ˈʕalaː sarfis aˈlħiːn	I took the car to service now	car;service	[automotive] car→kaːr; service→sarfis. table: default pan-Arabic (Watson 2002; Holes 2004)
ar-SA-x-rijal-alma-cs-015	هَذَا model جَدِيد وْ automatic	هذا model جديد و automatic	ˈhaðaː mudil dʒaˈdiːd w aatumatik	this model is new and automatic	model;automatic	[automotive] model→mudil; automatic→aatumatik. table: default pan-Arabic (Watson 2002; Holes 2004)
ar-SA-x-rijal-alma-cs-016	مُو عَارِف بَسّ أَنَا think هَذَا model غَالِي	مو عارف بس أنا think هذا model غالي	ˈmuː ˈʕaːrif ˈbass ˈʔanaː θink ˈhaðaː mudil ˈɣaːliː	I don't know but I think this model is expensive	think;model	[automotive] think→θink; model→mudil. table: default pan-Arabic (Watson 2002; Holes 2004)
ar-SA-x-rijal-alma-cs-017	نَشُوفَك فِي weekend إِنْ شَاءَ الله	نشوفك في weekend إن شاء الله	naˈʃuːfak ˈfiː wiːkind ˈʔin ˈʃaːʔa ˈallah	we see you on the weekend, God willing	weekend	[daily] weekend→wiːkind. table: default pan-Arabic (Watson 2002; Holes 2004)
ar-SA-x-rijal-alma-cs-018	sorry تَأَخَّرْت عَلَى meeting	sorry تأخرت على meeting	suːri taʔaˈxxart ˈʕalaː miːtinɡ	sorry, I was late for the meeting	sorry;meeting	[daily] sorry→suːri; meeting→miːtinɡ. table: default pan-Arabic (Watson 2002; Holes 2004)
ar-SA-x-rijal-alma-cs-019	ok زَيْن نِتْكَلَّم الْحِين	ok زين نتكلم الحين	uk ˈzajn niˈtkallam aˈlħiːn	ok fine, we'll talk now	ok	[daily] ok→uk. table: default pan-Arabic (Watson 2002; Holes 2004)
ar-SA-x-rijal-alma-cs-020	شُفْت manager فِي garage	شفت manager في garage	ˈʃuft manadʒar ˈfiː ɡaːradʒ	did you see the manager in the garage	manager;garage	[daily] manager→manadʒar; garage→ɡaːradʒ. table: default pan-Arabic (Watson 2002; Holes 2004)
